reaction,base_reaction,data_type,ec_code,kcat_evidence_count,kcat,MW,kcat_MW,missing_mass_genes
ACETDH,ACETDH,EC_class_2_SABIO_median,2.3.1.190,0,4.9,50.958,346167.4320028259,
ACGAMK,ACGAMK,EC_kcat_max_BRENDA,2.7.1.59,1,65.0,29.589,7908344.317144886,
ACGK,ACGK,EC_kcat_max_BRENDA,2.7.2.8,1,187.5,32.254,20927636.882247165,
ACGS_num1,ACGS,SABIO_RK_cache_median,2.3.1.1,3,3.333333,19.088,628667.1626152557,
ACHBS,ACHBS,SABIO_RK_cache_median,2.2.1.6,3,0.634,83.985,27176.281478835506,
ACITRULD,ACITRULD,SABIO_RK_cache_median,3.5.1.16,21,290.0,47.686,21893218.135301765,
ACKr,ACKr,SABIO_RK_cache_median,2.7.2.1,6,1053.0,39.041,97097922.69665225,
ACLS,ACLS,SABIO_RK_cache_median,2.2.1.6,3,0.634,83.985,27176.281478835506,
ACM6PH,ACM6PH,EC_kcat_max_BRENDA,4.2.1.126,1,5.7,32.387,633587.55056041,
ACOAD1f_num1,ACOAD1f,SABIO_RK_cache_median,1.3.8.7,40,13.149999999999999,44.566,1062244.760579814,
ACOAD2f_num1,ACOAD2f,SABIO_RK_cache_median,1.3.8.7,40,13.149999999999999,44.566,1062244.760579814,
ACOAD3f_num1,ACOAD3f,SABIO_RK_cache_median,1.3.8.7,40,13.149999999999999,44.566,1062244.760579814,
ACOAD4f_num1,ACOAD4f,SABIO_RK_cache_median,1.3.8.7,40,13.149999999999999,44.566,1062244.760579814,
ACOAD5f_num1,ACOAD5f,SABIO_RK_cache_median,1.3.8.7,40,13.149999999999999,44.566,1062244.760579814,
ACOAD6f_num1,ACOAD6f,SABIO_RK_cache_median,1.3.8.7,40,13.149999999999999,44.566,1062244.760579814,
ACOAD7f_num1,ACOAD7f,SABIO_RK_cache_median,1.3.8.7,40,13.149999999999999,44.566,1062244.760579814,
ACOAD8f_num1,ACOAD8f,EC_class_1_SABIO_median,1.3.99.3,0,17.825000000000003,44.566,1439886.9093030563,
ACOAD9_num1,ACOAD9,SABIO_RK_cache_median,1.3.99.12,1,1.77,41.9,152076.3723150358,
ACOADH1_num1,ACOADH1,EC_class_1_SABIO_median,1.3.99.2,0,17.825000000000003,41.9,1531503.5799522675,
ACOATA,ACOATA,EC_kcat_max_BRENDA,2.3.1.180,1,47.1,41.147,4120835.0548035097,
ACODA,ACODA,SABIO_RK_cache_median,3.5.1.16,21,290.0,47.686,21893218.135301765,
ACON6LAT_num1,ACON6LAT,EC_kcat_max_BRENDA,2.3.1.12,1,2.4,50.522,171014.60749772377,
ACONIs,ACONIs,EC_kcat_max_BRENDA,5.3.3.7,1,15000.0,101.267,533243801.0408129,
ACONMT,ACONMT,EC_class_2_SABIO_median,2.1.1.144,0,4.9,29.567,596611.0866844793,
ACONTa,ACONTa,EC_kcat_max_BRENDA,4.2.1.3,1,999.0,101.267,35514037.149318144,
ACONTb,ACONTb,EC_kcat_max_BRENDA,4.2.1.3,1,999.0,101.267,35514037.149318144,
ACOTA_num1,ACOTA,SABIO_RK_cache_median,2.6.1.11,2,1.185,43.128,98914.85809682804,
ACPScda,ACPScda,SABIO_RK_cache_median,2.7.8.7,16,0.245,23.437,37632.802833127105,
ACRCOAR,ACRCOAR,EC_kcat_max_BRENDA,1.3.1.95,1,29.0,43.289,2411698.1219247384,
ACS,ACS,SABIO_RK_cache_median,6.2.1.1,7,100.6,71.397,5072482.03706038,
ACS2,ACS2,SABIO_RK_cache_median,6.2.1.1,7,100.6,71.397,5072482.03706038,
ACTCOALIG,ACTCOALIG,SABIO_RK_cache_median,6.2.1.13,38,67.5,87.982,2761928.5762996976,
ACTCOAT,ACTCOAT,EC_kcat_max_BRENDA,2.8.3.1,1,14.2,34.984,1461239.4237365653,
ACTS2_num1,ACTS2,EC_kcat_max_BRENDA,2.3.1.180,1,47.1,44.637,3798642.3818805027,
ACTS3_num1,ACTS3,global_default_no_ec,,0,65.0,44.637,5242287.788157806,
ACTS4_num1,ACTS4,global_default_no_ec,,0,65.0,44.637,5242287.788157806,
ACTS5_num1,ACTS5,global_default_no_ec,,0,65.0,44.637,5242287.788157806,
ACTS6_num1,ACTS6,global_default_no_ec,,0,65.0,44.637,5242287.788157806,
ACTS7_num1,ACTS7,global_default_no_ec,,0,65.0,44.637,5242287.788157806,
ACTS8_num1,ACTS8,global_default_no_ec,,0,65.0,44.637,5242287.788157806,
ACTS9_num1,ACTS9,global_default_no_ec,,0,65.0,44.637,5242287.788157806,
ACTabc_num1,ACTabc,global_default_no_ec,,0,65.0,61.63,3796852.1823787116,
ACTt_num1,ACTt,global_default_no_ec,,0,65.0,133.55,1752152.75177836,
ACt4,ACt4,global_default_no_ec,,0,65.0,58.288,4014548.4490804286,
ADA_num1,ADA,EC_kcat_max_BRENDA,3.5.4.4,1,180.0,39.415,16440441.456298364,
ADCL,ADCL,EC_class_4_SABIO_median,4.1.3.38,0,5.9,31.419,676024.0618733887,
ADCPS1,ADCPS1,global_default_no_ec,,0,65.0,39.968,5854683.746997598,
ADCPS2,ADCPS2,EC_class_6_SABIO_median,6.3.1.10,0,2.9,39.968,261208.96717373896,
ADCS,ADCS,SABIO_RK_cache_median,2.6.1.85,16,0.0625,23.008,9779.207232267037,
ADCYRS,ADCYRS,EC_kcat_max_BRENDA,6.3.5.10,1,8.4,54.007,559927.4168163387,
ADEt,ADEt,global_default_no_ec,,0,65.0,51.057,4583112.991362595,
ADK1,ADK1,SABIO_RK_cache_median,2.7.4.3,14,52.0,23.313,8029854.587569168,
ADK2,ADK2,SABIO_RK_cache_median,2.7.4.3,14,52.0,23.313,8029854.587569168,
ADK3,ADK3,SABIO_RK_cache_median,2.7.4.3,14,52.0,23.313,8029854.587569168,
ADK4,ADK4,SABIO_RK_cache_median,2.7.4.3,14,52.0,23.313,8029854.587569168,
ADNK1,ADNK1,EC_kcat_max_BRENDA,2.7.1.20,1,999.0,34.967,102851259.75920154,
ADOCBLS,ADOCBLS,EC_kcat_max_BRENDA,2.7.8.26,1,83.3,49.882,6011787.819253438,
ADOXFUTS,ADOXFUTS,EC_class_2_SABIO_median,2.5.1.120,0,4.9,44.74,394278.0509611086,
ADPT,ADPT,EC_kcat_max_BRENDA,2.4.2.7,1,17.9,20.048,3214285.714285714,
ADPT2,ADPT2,EC_kcat_max_BRENDA,2.4.2.7,1,17.9,20.048,3214285.714285714,
ADSK,ADSK,EC_kcat_max_BRENDA,2.7.1.25,1,272.0,24.531,39916839.91683992,
ADSL1r,ADSL1r,SABIO_RK_cache_median,4.3.2.2,3,1.57,51.584,109568.85856079403,
ADSL2r,ADSL2r,SABIO_RK_cache_median,4.3.2.2,3,1.57,51.584,109568.85856079403,
ADSS,ADSS,SABIO_RK_cache_median,6.3.4.4,5,3.1,47.088,237003.05810397552,
AGDC,AGDC,EC_kcat_max_BRENDA,3.5.1.25,1,2610.0,38.377,244834145.45170283,
AGM4PCP,AGM4PCP,global_default_no_ec,,0,65.0,32.3,7244582.043343654,
AGPAT120_num1,AGPAT120,EC_class_2_SABIO_median,2.3.1.51,0,4.9,27.234,647719.7620621282,
AGPAT140_num1,AGPAT140,EC_class_2_SABIO_median,2.3.1.51,0,4.9,27.234,647719.7620621282,
AGPAT141_num1,AGPAT141,EC_class_2_SABIO_median,2.3.1.51,0,4.9,27.234,647719.7620621282,
AGPAT150_num1,AGPAT150,EC_class_2_SABIO_median,2.3.1.51,0,4.9,27.234,647719.7620621282,
AGPAT160_num1,AGPAT160,EC_class_2_SABIO_median,2.3.1.51,0,4.9,27.234,647719.7620621282,
AGPAT161_num1,AGPAT161,EC_class_2_SABIO_median,2.3.1.51,0,4.9,27.234,647719.7620621282,
AGPAT170_num1,AGPAT170,EC_class_2_SABIO_median,2.3.1.51,0,4.9,27.234,647719.7620621282,
AGPAT180_num1,AGPAT180,EC_class_2_SABIO_median,2.3.1.51,0,4.9,27.234,647719.7620621282,
AGPAT181_num1,AGPAT181,EC_class_2_SABIO_median,2.3.1.51,0,4.9,27.234,647719.7620621282,
AGPATai150_num1,AGPATai150,EC_class_2_SABIO_median,2.3.1.51,0,4.9,27.234,647719.7620621282,
AGPATai170_num1,AGPATai170,EC_class_2_SABIO_median,2.3.1.51,0,4.9,27.234,647719.7620621282,
AGPATi140_num1,AGPATi140,EC_class_2_SABIO_median,2.3.1.51,0,4.9,27.234,647719.7620621282,
AGPATi150_num1,AGPATi150,EC_class_2_SABIO_median,2.3.1.51,0,4.9,27.234,647719.7620621282,
AGPATi160_num1,AGPATi160,EC_class_2_SABIO_median,2.3.1.51,0,4.9,27.234,647719.7620621282,
AGPATi170_num1,AGPATi170,EC_class_2_SABIO_median,2.3.1.51,0,4.9,27.234,647719.7620621282,
AGPATi180_num1,AGPATi180,EC_class_2_SABIO_median,2.3.1.51,0,4.9,27.234,647719.7620621282,
AGPR,AGPR,EC_class_1_SABIO_median,1.2.1.38,0,17.825000000000003,33.207,1932423.8865299488,
AHCi,AHCi,EC_kcat_max_BRENDA,3.3.1.1,1,6666.0,54.114,443463798.6473002,
AHLGAL,AHLGAL,EC_class_1_SABIO_median,1.2.1.92,0,17.825000000000003,52.084,1232048.2297826589,
AHMMPS,AHMMPS,EC_kcat_max_BRENDA,4.1.99.17,1,999.0,57.701,62328209.21647805,
AHSERL2_num1,AHSERL2,EC_class_2_SABIO_median,2.5.1.49,0,4.9,40.055,440394.4576207714,
AICART,AICART,EC_kcat_max_BRENDA,2.1.2.3,1,7.18,76.49,337926.5263433129,
AIRCr,AIRCr,EC_kcat_max_BRENDA,4.1.1.21,1,77.0,59.173,4684568.975715276,
AKGDH_num1,AKGDH,SABIO_RK_cache_median,1.8.1.4,21,190.0,253.529,2697916.2147131097,
AKGDH2,AKGDH2,global_default_no_ec,,0,65.0,103.211,2267200.201528907,
AKGt2r_num1,AKGt2r,global_default_no_ec,,0,65.0,50.108,4669912.987946037,
AKP1_num1,AKP1,SABIO_RK_cache_median,3.1.3.1,24,44.4,56.276,2840287.1561589306,
ALAALAabc_num1,ALAALAabc,global_default_no_ec,,0,65.0,36.83,6353516.155308173,
ALAALAr,ALAALAr,SABIO_RK_cache_median,6.3.2.4,10,1.4083335,38.671,131106.01225724703,
ALAD_L,ALAD_L,SABIO_RK_cache_median,1.4.1.1,2,524.0,39.361,47925611.64604558,
ALALAC,ALALAC,EC_kcat_max_BRENDA,6.1.2.1,1,15.7,38.671,1461560.3423754235,
ALAR,ALAR,SABIO_RK_cache_median,5.1.1.1,19,1.05,39.477,95751.95683562581,
ALATA_D2_num1,ALATA_D2,SABIO_RK_cache_median,2.1.2.1,49,3.368333,45.484,266599.2173071849,
ALATA_L2_num1,ALATA_L2,SABIO_RK_cache_median,2.1.2.1,49,3.368333,45.484,266599.2173071849,
ALATRS,ALATRS,EC_kcat_max_BRENDA,6.1.1.7,1,84.0,96.538,3132445.2547183493,
ALAabc_num1,ALAabc,global_default_no_ec,,0,65.0,31.305,7474844.274077623,
ALAt2r,ALAt2r,global_default_no_ec,,0,65.0,52.629,4446217.864675369,
ALAt4,ALAt4,global_default_no_ec,,0,65.0,99.335,2355665.173403131,
ALCD19_num1,ALCD19,EC_kcat_max_BRENDA,1.1.1.72,1,57.2,35.915,5733537.51914242,
ALCD2s_num1,ALCD2s,SABIO_RK_cache_median,1.11.1.6,45,260000.0,80.914,11567837457.053167,
ALCD2x_num1,ALCD2x,SABIO_RK_cache_median,1.1.1.1,457,2.166667,35.915,217179.4848948907,
ALDD1,ALDD1,EC_kcat_max_BRENDA,1.2.1.46,1,0.48,40.29,42889.05435591959,
ALDD19xr_num1,ALDD19xr,EC_kcat_max_BRENDA,1.2.1.39,1,96.8,51.12,6816901.408450705,
ALDD2x_num1,ALDD2x,SABIO_RK_cache_median,1.2.1.3,123,2.133333,53.275,144157.64992961052,
ALDH_num1,ALDH,SABIO_RK_cache_median,1.2.1.3,123,2.133333,53.275,144157.64992961052,
ALLTAMH2,ALLTAMH2,global_default_no_ec,,0,65.0,45.281,5167730.394646761,
ALLTN,ALLTN,SABIO_RK_cache_median,3.5.2.5,9,470.0,45.938,36832252.165962815,
ALPHNH,ALPHNH,EC_kcat_max_BRENDA,3.5.1.54,1,32.0,29.286,3933620.159803319,
AM4PCP,AM4PCP,global_default_no_ec,,0,65.0,32.3,7244582.043343654,
AMALT2,AMALT2,EC_kcat_max_BRENDA,2.4.1.25,1,3033.0,69.753,156535202.7869769,
AMALT3,AMALT3,EC_kcat_max_BRENDA,2.4.1.25,1,3033.0,69.753,156535202.7869769,
AMALT4,AMALT4,EC_kcat_max_BRENDA,2.4.1.25,1,3033.0,69.753,156535202.7869769,
AMAOTr,AMAOTr,SABIO_RK_cache_median,2.6.1.62,4,0.048333335000000005,45.627,3813.5315931356436,
AMMQLT9,AMMQLT9,EC_class_2_SABIO_median,2.1.1.163,0,4.9,25.279,697812.4134657226,
AMMQT9,AMMQT9,EC_class_2_SABIO_median,2.1.1.163,0,4.9,25.279,697812.4134657226,
AMPTASECG_num1,AMPTASECG,SABIO_RK_cache_median,3.4.11.1,34,92.841665,50.316,6642618.530884808,
AMPTASEPG_num1,AMPTASEPG,SABIO_RK_cache_median,3.4.11.2,2,27.0,94.398,1029682.8322633954,
ANHMK,ANHMK,EC_kcat_max_BRENDA,2.7.1.170,1,7000.0,42.431,593905399.3542458,
ANPRT,ANPRT,SABIO_RK_cache_median,2.4.2.18,2,2.6500000000000004,35.861,266027.1604249743,
ANS_num1,ANS,SABIO_RK_cache_median,4.1.3.27,3,3.7,77.867,171060.91155431696,
